Epoch 1, Training Loss: 0.4829, Training Accuracy: 0.7687, Validation Loss: 0.3197, Validation Accuracy: 0.8754
Epoch 2, Training Loss: 0.3520, Training Accuracy: 0.8695, Validation Loss: 0.2943, Validation Accuracy: 0.8957
Epoch 3, Training Loss: 0.2942, Training Accuracy: 0.9057, Validation Loss: 0.4992, Validation Accuracy: 0.7507
Epoch 4, Training Loss: 0.3057, Training Accuracy: 0.8927, Validation Loss: 0.4161, Validation Accuracy: 0.8406
Epoch 5, Training Loss: 0.3003, Training Accuracy: 0.9021, Validation Loss: 0.2923, Validation Accuracy: 0.8928
Epoch 6, Training Loss: 0.3059, Training Accuracy: 0.8905, Validation Loss: 0.2625, Validation Accuracy: 0.9101
Epoch 7, Training Loss: 0.2628, Training Accuracy: 0.9021, Validation Loss: 0.2549, Validation Accuracy: 0.9188
Epoch 8, Training Loss: 0.2617, Training Accuracy: 0.9144, Validation Loss: 0.2409, Validation Accuracy: 0.9159
Epoch 9, Training Loss: 0.2336, Training Accuracy: 0.9159, Validation Loss: 0.2458, Validation Accuracy: 0.9246
Epoch 10, Training Loss: 0.2273, Training Accuracy: 0.9202, Validation Loss: 0.2486, Validation Accuracy: 0.9130
Epoch 11, Training Loss: 0.2202, Training Accuracy: 0.9217, Validation Loss: 0.2353, Validation Accuracy: 0.9188
Epoch 12, Training Loss: 0.2059, Training Accuracy: 0.9275, Validation Loss: 0.2134, Validation Accuracy: 0.9246
Epoch 13, Training Loss: 0.1891, Training Accuracy: 0.9289, Validation Loss: 0.2384, Validation Accuracy: 0.9217
Epoch 14, Training Loss: 0.1930, Training Accuracy: 0.9246, Validation Loss: 0.2608, Validation Accuracy: 0.9101
Epoch 15, Training Loss: 0.1790, Training Accuracy: 0.9398, Validation Loss: 0.2130, Validation Accuracy: 0.9275
Epoch 16, Training Loss: 0.1715, Training Accuracy: 0.9398, Validation Loss: 0.2249, Validation Accuracy: 0.9188
Epoch 17, Training Loss: 0.1622, Training Accuracy: 0.9442, Validation Loss: 0.2204, Validation Accuracy: 0.9246
Epoch 18, Training Loss: 0.1373, Training Accuracy: 0.9558, Validation Loss: 0.2385, Validation Accuracy: 0.9246
Epoch 19, Training Loss: 0.1316, Training Accuracy: 0.9529, Validation Loss: 0.2339, Validation Accuracy: 0.9217
Epoch 20, Training Loss: 0.1266, Training Accuracy: 0.9616, Validation Loss: 0.2524, Validation Accuracy: 0.9217
